TIME,Base,Minor,Rssi,,,,,Base,21,,
28:14.2,21,46,-70,,,,,,,,
28:14.2,21,48,-75,,,,,,,,
28:14.2,21,47,-66,,,,,,,,
28:14.2,21,25,-59,,,,,,,,
28:14.3,21,38,-72,,,,,,,,
28:14.3,21,42,-61,,,,,,,,
28:14.3,21,41,-51,,,,,,,,
28:14.3,21,22,-50,,,,,,,,
28:14.3,21,21,-57,,,,,,,,
28:14.3,21,29,-67,,,,,,,,
28:14.3,21,23,-57,,,,,,,,
28:14.4,21,56,-69,,,,,,,,
28:14.4,21,59,-67,,,,,,,,
28:14.4,21,36,-76,,,,,,,,
28:14.4,21,21,-57,,,,,,,,
28:14.4,21,60,-68,,,,,,,,
28:14.4,21,62,-73,,,,,,,,
28:14.4,21,24,-53,,,,,,,,
28:14.4,21,46,-71,,,,,,,,
28:14.4,21,47,-66,,,,,,,,
28:14.6,21,31,-68,,,,,,,,
28:14.6,21,35,-81,,,,,,,,
28:14.6,21,59,-67,,,,,,,,
28:14.6,21,22,-50,,,,,,,,
28:14.6,21,62,-73,,,,,,,,
28:14.6,21,45,-66,,,,,,,,
28:14.7,21,33,-67,,,,,,,,
28:14.7,21,32,-67,,,,,,,,
28:14.7,21,56,-68,,,,,,,,
28:14.7,21,59,-67,,,,,,,,
28:14.7,21,36,-75,,,,,,,,
28:14.7,21,42,-61,,,,,,,,
28:14.7,21,41,-50,,,,,,,,
28:14.7,21,22,-49,,,,,,,,
28:14.7,21,21,-57,,,,,,,,
28:14.7,21,24,-53,,,,,,,,
28:14.7,21,46,-72,,,,,,,,
28:14.7,21,47,-66,,,,,,,,
28:14.8,21,55,-68,,,,,,,,
28:14.8,21,33,-67,,,,,,,,
28:14.8,21,36,-75,,,,,,,,
28:14.8,21,22,-50,,,,,,,,
28:14.8,21,44,-61,,,,,,,,
28:14.8,21,60,-68,,,,,,,,
28:14.8,21,24,-53,,,,,,,,
28:14.8,21,23,-57,,,,,,,,
28:14.8,21,25,-58,,,,,,,,
28:14.9,21,31,-67,,,,,,,,
28:14.9,21,54,-74,,,,,,,,
28:14.9,21,57,-67,,,,,,,,
28:14.9,21,35,-80,,,,,,,,
28:14.9,21,59,-67,,,,,,,,
28:14.9,21,58,-76,,,,,,,,
28:14.9,21,22,-49,,,,,,,,
28:14.9,21,44,-61,,,,,,,,
28:14.9,21,21,-58,,,,,,,,
28:14.9,21,61,-67,,,,,,,,
28:14.9,21,28,-66,,,,,,,,
28:14.9,21,27,-74,,,,,,,,
28:14.9,21,24,-53,,,,,,,,
28:14.9,21,46,-73,,,,,,,,
28:14.9,21,26,-63,,,,,,,,
28:15.0,21,53,-67,,,,,,,,
28:15.0,21,31,-70,,,,,,,,
28:15.0,21,39,-69,,,,,,,,
28:15.0,21,35,-79,,,,,,,,
28:15.0,21,56,-69,,,,,,,,
28:15.0,21,64,-69,,,,,,,,
28:15.0,21,41,-52,,,,,,,,
28:15.0,21,44,-60,,,,,,,,
28:15.0,21,24,-53,,,,,,,,
28:15.0,21,45,-68,,,,,,,,
28:15.0,21,47,-65,,,,,,,,
28:15.0,21,25,-58,,,,,,,,
28:15.1,21,30,-72,,,,,,,,
28:15.1,21,55,-66,,,,,,,,
28:15.1,21,39,-70,,,,,,,,
28:15.1,21,36,-75,,,,,,,,
28:15.1,21,58,-77,,,,,,,,
28:15.1,21,22,-50,,,,,,,,
28:15.1,21,21,-57,,,,,,,,
28:15.1,21,60,-68,,,,,,,,
28:15.1,21,28,-68,,,,,,,,
28:15.1,21,29,-66,,,,,,,,
28:15.1,21,24,-54,,,,,,,,
28:15.1,21,45,-69,,,,,,,,
28:15.1,21,25,-59,,,,,,,,
28:15.2,21,31,-68,,,,,,,,
28:15.2,21,55,-68,,,,,,,,
28:15.2,21,32,-68,,,,,,,,
28:15.2,21,57,-66,,,,,,,,
28:15.2,21,56,-66,,,,,,,,
28:15.2,21,59,-70,,,,,,,,
28:15.2,21,22,-49,,,,,,,,
28:15.2,21,43,-70,,,,,,,,
28:15.2,21,60,-67,,,,,,,,
28:15.2,21,45,-69,,,,,,,,
28:15.3,21,53,-66,,,,,,,,
28:15.3,21,33,-67,,,,,,,,
28:15.3,21,32,-68,,,,,,,,
28:15.3,21,59,-67,,,,,,,,
28:15.3,21,58,-75,,,,,,,,
28:15.3,21,64,-67,,,,,,,,
28:15.3,21,22,-49,,,,,,,,
28:15.3,21,44,-61,,,,,,,,
28:15.3,21,28,-66,,,,,,,,
28:15.3,21,24,-53,,,,,,,,
28:15.3,21,48,-80,,,,,,,,
28:15.3,21,26,-62,,,,,,,,
28:15.3,21,25,-59,,,,,,,,
28:15.4,21,30,-73,,,,,,,,
28:15.4,21,32,-67,,,,,,,,
28:15.4,21,64,-67,,,,,,,,
