TIME,Base,Minor,Rssi,,,,,Base,25
29:48.0,25,47,-63,,,,,,
29:48.1,25,55,-68,,,,,,
29:48.1,25,39,-71,,,,,,
29:48.1,25,38,-69,,,,,,
29:48.1,25,57,-76,,,,,,
29:48.1,25,35,-73,,,,,,
29:48.1,25,34,-66,,,,,,
29:48.1,25,56,-71,,,,,,
29:48.1,25,59,-73,,,,,,
29:48.1,25,60,-69,,,,,,
29:48.1,25,28,-60,,,,,,
29:48.1,25,45,-63,,,,,,
29:48.1,25,47,-62,,,,,,
29:48.1,25,25,-53,,,,,,
29:48.2,25,30,-67,,,,,,
29:48.2,25,56,-71,,,,,,
29:48.2,25,59,-73,,,,,,
29:48.2,25,58,-73,,,,,,
29:48.2,25,64,-73,,,,,,
29:48.2,25,22,-61,,,,,,
29:48.2,25,60,-69,,,,,,
29:48.2,25,61,-64,,,,,,
29:48.2,25,27,-54,,,,,,
29:48.2,25,29,-58,,,,,,
29:48.2,25,23,-66,,,,,,
29:48.2,25,26,-59,,,,,,
29:48.2,25,47,-62,,,,,,
29:48.3,25,53,-66,,,,,,
29:48.3,25,55,-67,,,,,,
29:48.3,25,39,-73,,,,,,
29:48.3,25,35,-71,,,,,,
29:48.3,25,34,-67,,,,,,
29:48.3,25,56,-70,,,,,,
29:48.3,25,59,-72,,,,,,
29:48.3,25,41,-68,,,,,,
29:48.3,25,63,-68,,,,,,
29:48.3,25,22,-60,,,,,,
29:48.3,25,21,-54,,,,,,
29:48.3,25,43,-66,,,,,,
29:48.3,25,61,-64,,,,,,
29:48.3,25,28,-60,,,,,,
29:48.3,25,29,-58,,,,,,
29:48.3,25,46,-75,,,,,,
29:48.3,25,23,-69,,,,,,
29:48.3,25,45,-61,,,,,,
29:48.3,25,48,-65,,,,,,
29:48.3,25,47,-62,,,,,,
29:48.4,25,53,-67,,,,,,
29:48.4,25,31,-69,,,,,,
29:48.4,25,54,-70,,,,,,
29:48.4,25,38,-70,,,,,,
29:48.4,25,57,-72,,,,,,
29:48.4,25,35,-72,,,,,,
29:48.4,25,34,-67,,,,,,
29:48.4,25,56,-70,,,,,,
29:48.4,25,59,-71,,,,,,
29:48.4,25,64,-73,,,,,,
29:48.4,25,63,-68,,,,,,
29:48.4,25,22,-60,,,,,,
29:48.4,25,61,-65,,,,,,
29:48.4,25,28,-60,,,,,,
29:48.4,25,23,-70,,,,,,
29:48.4,25,45,-62,,,,,,
29:48.4,25,26,-58,,,,,,
29:48.5,25,30,-66,,,,,,
29:48.5,25,32,-67,,,,,,
29:48.5,25,38,-70,,,,,,
29:48.5,25,59,-69,,,,,,
29:48.5,25,58,-73,,,,,,
29:48.5,25,42,-65,,,,,,
29:48.5,25,64,-75,,,,,,
29:48.5,25,21,-55,,,,,,
29:48.5,25,28,-60,,,,,,
29:48.5,25,27,-55,,,,,,
29:48.5,25,24,-55,,,,,,
29:48.5,25,48,-66,,,,,,
29:48.5,25,26,-58,,,,,,
29:48.5,25,47,-62,,,,,,
29:48.5,25,25,-54,,,,,,
29:48.6,25,30,-66,,,,,,
29:48.6,25,33,-68,,,,,,
29:48.6,25,32,-65,,,,,,
29:48.6,25,38,-71,,,,,,
29:48.6,25,57,-72,,,,,,
29:48.6,25,59,-69,,,,,,
29:48.6,25,44,-60,,,,,,
29:48.6,25,60,-69,,,,,,
29:48.6,25,61,-63,,,,,,
29:48.6,25,28,-60,,,,,,
29:48.6,25,45,-62,,,,,,
29:48.7,25,53,-67,,,,,,
29:48.7,25,55,-68,,,,,,
29:48.7,25,32,-66,,,,,,
29:48.7,25,54,-69,,,,,,
29:48.7,25,38,-71,,,,,,
29:48.7,25,37,-66,,,,,,
29:48.7,25,42,-63,,,,,,
29:48.7,25,63,-69,,,,,,
29:48.7,25,21,-56,,,,,,
29:48.7,25,61,-64,,,,,,
29:48.7,25,28,-60,,,,,,
29:48.7,25,27,-54,,,,,,
29:48.7,25,46,-71,,,,,,
29:48.7,25,45,-62,,,,,,
29:48.7,25,48,-68,,,,,,
29:48.7,25,47,-62,,,,,,
29:48.8,25,31,-69,,,,,,
29:48.8,25,30,-66,,,,,,
29:48.8,25,33,-68,,,,,,
29:48.8,25,32,-65,,,,,,
29:48.8,25,59,-69,,,,,,
29:48.8,25,37,-67,,,,,,
29:48.8,25,36,-68,,,,,,
29:48.8,25,42,-64,,,,,,
29:48.8,25,22,-59,,,,,,
29:48.8,25,44,-60,,,,,,
29:48.8,25,21,-56,,,,,,
29:48.8,25,60,-68,,,,,,
29:48.8,25,24,-54,,,,,,
29:48.8,25,45,-62,,,,,,
29:48.8,25,47,-62,,,,,,
29:48.8,25,25,-53,,,,,,
29:48.9,25,30,-67,,,,,,
29:48.9,25,54,-70,,,,,,
29:48.9,25,57,-72,,,,,,
29:48.9,25,37,-66,,,,,,
29:48.9,25,36,-69,,,,,,
29:48.9,25,63,-68,,,,,,
29:48.9,25,22,-59,,,,,,
29:48.9,25,21,-55,,,,,,
29:48.9,25,43,-70,,,,,,
29:48.9,25,45,-63,,,,,,
29:48.9,25,26,-57,,,,,,
29:48.9,25,47,-62,,,,,,
29:48.9,25,25,-54,,,,,,
29:49.0,25,54,-70,,,,,,
29:49.0,25,38,-72,,,,,,
29:49.0,25,57,-72,,,,,,
29:49.0,25,35,-73,,,,,,
29:49.0,25,64,-77,,,,,,
29:49.0,25,41,-68,,,,,,
29:49.0,25,22,-60,,,,,,
29:49.0,25,43,-69,,,,,,
29:49.0,25,40,-73,,,,,,
29:49.0,25,61,-64,,,,,,
29:49.0,25,27,-54,,,,,,
29:49.0,25,24,-55,,,,,,
29:49.0,25,48,-65,,,,,,
29:49.1,25,31,-69,,,,,,
29:49.1,25,30,-65,,,,,,
29:49.1,25,55,-69,,,,,,
29:49.1,25,54,-71,,,,,,
29:49.1,25,39,-71,,,,,,
29:49.1,25,38,-73,,,,,,
29:49.1,25,56,-71,,,,,,
29:49.1,25,58,-73,,,,,,
29:49.1,25,64,-78,,,,,,
29:49.1,25,24,-55,,,,,,
29:49.1,25,46,-73,,,,,,
29:49.1,25,26,-58,,,,,,
29:49.1,25,25,-54,,,,,,
29:49.2,25,30,-68,,,,,,
29:49.2,25,33,-68,,,,,,
29:49.2,25,54,-71,,,,,,
29:49.2,25,59,-68,,,,,,
29:49.2,25,58,-75,,,,,,
29:49.2,25,42,-65,,,,,,
29:49.2,25,64,-78,,,,,,
29:49.2,25,44,-61,,,,,,
29:49.2,25,21,-55,,,,,,
29:49.2,25,40,-73,,,,,,
29:49.2,25,28,-60,,,,,,
29:49.2,25,23,-71,,,,,,
29:49.3,25,31,-69,,,,,,
29:49.3,25,30,-65,,,,,,
29:49.3,25,55,-69,,,,,,
29:49.3,25,56,-70,,,,,,
29:49.3,25,59,-68,,,,,,
29:49.3,25,64,-79,,,,,,
29:49.3,25,41,-69,,,,,,
29:49.3,25,22,-59,,,,,,
29:49.3,25,44,-61,,,,,,
29:49.3,25,43,-70,,,,,,
29:49.3,25,27,-55,,,,,,
29:49.3,25,29,-59,,,,,,
29:49.3,25,24,-55,,,,,,
29:49.3,25,45,-63,,,,,,
29:49.3,25,26,-58,,,,,,
29:49.3,25,47,-62,,,,,,
29:49.4,25,31,-69,,,,,,
29:49.4,25,30,-66,,,,,,
29:49.4,25,38,-73,,,,,,
29:49.4,25,35,-75,,,,,,
29:49.4,25,56,-71,,,,,,
29:49.4,25,37,-64,,,,,,
29:49.4,25,42,-65,,,,,,
29:49.4,25,41,-69,,,,,,
29:49.4,25,63,-68,,,,,,
29:49.4,25,22,-59,,,,,,
29:49.4,25,44,-61,,,,,,
29:49.4,25,21,-56,,,,,,
29:49.4,25,43,-71,,,,,,
29:49.4,25,28,-60,,,,,,
29:49.4,25,27,-54,,,,,,
29:49.4,25,24,-55,,,,,,
29:49.4,25,46,-71,,,,,,
29:49.4,25,47,-61,,,,,,
29:49.5,25,39,-72,,,,,,
29:49.5,25,34,-66,,,,,,
29:49.5,25,56,-71,,,,,,
29:49.5,25,58,-75,,,,,,
29:49.5,25,41,-69,,,,,,
29:49.5,25,63,-71,,,,,,
29:49.5,25,22,-59,,,,,,
29:49.5,25,44,-61,,,,,,
29:49.5,25,28,-60,,,,,,
29:49.5,25,29,-59,,,,,,
29:49.5,25,45,-63,,,,,,
29:49.6,25,53,-66,,,,,,
29:49.6,25,38,-75,,,,,,
29:49.6,25,35,-77,,,,,,
29:49.6,25,56,-71,,,,,,
29:49.6,25,58,-76,,,,,,
29:49.6,25,44,-62,,,,,,
29:49.6,25,21,-55,,,,,,
29:49.6,25,43,-71,,,,,,
29:49.6,25,40,-71,,,,,,
29:49.6,25,28,-60,,,,,,
29:49.6,25,29,-59,,,,,,
29:49.6,25,24,-55,,,,,,
29:49.6,25,45,-63,,,,,,
29:49.7,25,59,-68,,,,,,
29:49.7,25,37,-66,,,,,,
29:49.7,25,58,-74,,,,,,
29:49.7,25,42,-66,,,,,,
29:49.7,25,41,-70,,,,,,
29:49.7,25,44,-62,,,,,,
29:49.7,25,43,-72,,,,,,
29:49.7,25,40,-71,,,,,,
29:49.7,25,24,-55,,,,,,
29:49.7,25,46,-70,,,,,,
29:49.7,25,45,-63,,,,,,
29:49.7,25,48,-67,,,,,,
29:49.7,25,26,-57,,,,,,
29:49.7,25,47,-62,,,,,,
29:49.8,25,31,-68,,,,,,
29:49.8,25,54,-74,,,,,,
29:49.8,25,57,-73,,,,,,
29:49.8,25,34,-66,,,,,,
29:49.8,25,37,-66,,,,,,
29:49.8,25,36,-70,,,,,,
29:49.8,25,64,-81,,,,,,
29:49.8,25,63,-68,,,,,,
29:49.8,25,61,-64,,,,,,
29:49.8,25,28,-60,,,,,,
29:49.8,25,29,-60,,,,,,
29:49.8,25,24,-54,,,,,,
29:49.8,25,23,-73,,,,,,
29:49.8,25,45,-63,,,,,,
29:49.8,25,26,-58,,,,,,
29:49.9,25,55,-68,,,,,,
29:49.9,25,32,-65,,,,,,
29:49.9,25,35,-75,,,,,,
29:49.9,25,34,-67,,,,,,
29:49.9,25,37,-66,,,,,,
29:49.9,25,41,-71,,,,,,
29:49.9,25,22,-59,,,,,,
29:49.9,25,44,-62,,,,,,
29:49.9,25,21,-56,,,,,,
29:49.9,25,62,-66,,,,,,
29:49.9,25,28,-60,,,,,,
29:49.9,25,29,-60,,,,,,
29:49.9,25,47,-61,,,,,,
29:50.1,25,31,-68,,,,,,
29:50.1,25,34,-66,,,,,,
29:50.1,25,59,-70,,,,,,
29:50.1,25,37,-65,,,,,,
29:50.1,25,22,-59,,,,,,
29:50.1,25,44,-63,,,,,,
29:50.1,25,21,-56,,,,,,
29:50.1,25,43,-71,,,,,,
29:50.1,25,40,-70,,,,,,
29:50.1,25,45,-63,,,,,,
29:50.1,25,26,-57,,,,,,
29:50.1,25,25,-53,,,,,,
29:50.2,25,30,-67,,,,,,
29:50.2,25,55,-71,,,,,,
29:50.2,25,35,-74,,,,,,
29:50.2,25,34,-67,,,,,,
29:50.2,25,56,-70,,,,,,
29:50.2,25,22,-59,,,,,,
29:50.2,25,44,-62,,,,,,
29:50.2,25,21,-56,,,,,,
29:50.2,25,62,-66,,,,,,
29:50.2,25,29,-60,,,,,,
29:50.2,25,46,-69,,,,,,
29:50.2,25,23,-73,,,,,,
29:50.2,25,45,-63,,,,,,
29:50.2,25,26,-57,,,,,,
29:50.3,25,57,-72,,,,,,
29:50.3,25,59,-69,,,,,,
29:50.3,25,58,-74,,,,,,
29:50.3,25,42,-67,,,,,,
29:50.3,25,21,-56,,,,,,
29:50.3,25,60,-68,,,,,,
29:50.3,25,61,-63,,,,,,
29:50.3,25,27,-53,,,,,,
29:50.3,25,29,-60,,,,,,
29:50.3,25,23,-73,,,,,,
29:50.3,25,48,-68,,,,,,
29:50.3,25,26,-57,,,,,,
29:50.3,25,47,-61,,,,,,
29:50.4,25,55,-69,,,,,,
29:50.4,25,33,-71,,,,,,
29:50.4,25,35,-74,,,,,,
29:50.4,25,34,-66,,,,,,
29:50.4,25,37,-65,,,,,,
29:50.4,25,42,-67,,,,,,
29:50.4,25,63,-68,,,,,,
29:50.4,25,43,-70,,,,,,
29:50.4,25,60,-69,,,,,,
29:50.4,25,28,-59,,,,,,
29:50.4,25,45,-63,,,,,,
29:50.4,25,48,-67,,,,,,
29:50.5,25,31,-67,,,,,,
29:50.5,25,38,-72,,,,,,
29:50.5,25,34,-66,,,,,,
29:50.5,25,59,-67,,,,,,
29:50.5,25,42,-68,,,,,,
29:50.5,25,41,-68,,,,,,
29:50.5,25,63,-68,,,,,,
29:50.5,25,44,-63,,,,,,
29:50.5,25,21,-56,,,,,,
29:50.5,25,60,-68,,,,,,
29:50.5,25,28,-59,,,,,,
29:50.5,25,27,-53,,,,,,
29:50.5,25,29,-60,,,,,,
29:50.5,25,24,-54,,,,,,
29:50.5,25,46,-67,,,,,,
29:50.5,25,48,-67,,,,,,
29:50.6,25,30,-66,,,,,,
29:50.6,25,32,-69,,,,,,
29:50.6,25,38,-72,,,,,,
29:50.6,25,59,-67,,,,,,
29:50.6,25,36,-73,,,,,,
29:50.6,25,58,-74,,,,,,
