TIME,Base,Minor,Rssi,,,
28:13.7,21,57,-66,,,
28:13.7,21,56,-64,,,
28:13.7,21,36,-79,,,
28:13.7,21,41,-51,,,
28:13.7,21,44,-62,,,
28:13.7,21,21,-56,,,
28:13.7,21,50,-73,,,
28:13.7,21,28,-68,,,
28:13.7,21,24,-53,,,
28:13.7,21,23,-57,,,
28:13.7,21,48,-64,,,
28:13.7,21,26,-61,,,
28:13.8,21,56,-68,,,
28:13.8,21,36,-80,,,
28:13.8,21,41,-51,,,
28:13.8,21,60,-67,,,
28:13.8,21,40,-84,,,
28:13.8,21,24,-53,,,
28:13.8,21,48,-67,,,
28:13.8,21,26,-60,,,
28:13.9,21,53,-67,,,
28:13.9,21,55,-68,,,
28:13.9,21,32,-68,,,
28:13.9,21,35,-79,,,
28:13.9,21,52,-68,,,
28:13.9,21,51,-70,,,
28:13.9,21,22,-50,,,
28:13.9,21,44,-63,,,
28:13.9,21,43,-65,,,
28:13.9,21,50,-71,,,
28:13.9,21,29,-66,,,
28:13.9,21,45,-67,,,
28:13.9,21,26,-61,,,
28:14.0,21,55,-67,,,
28:14.0,21,35,-79,,,
28:14.0,21,41,-51,,,
28:14.0,21,44,-63,,,
28:14.0,21,49,-66,,,
28:14.0,21,27,-74,,,
28:14.0,21,23,-57,,,
28:14.1,21,53,-67,,,
28:14.1,21,31,-67,,,
28:14.1,21,36,-78,,,
28:14.1,21,58,-74,,,
28:14.1,21,41,-51,,,
28:14.1,21,51,-72,,,
28:14.1,21,22,-49,,,
28:14.1,21,21,-57,,,
28:14.1,21,60,-69,,,
28:14.1,21,50,-71,,,
28:14.1,21,28,-67,,,
28:14.1,21,24,-53,,,
28:14.1,21,46,-70,,,
28:14.1,21,48,-70,,,
28:14.1,21,47,-66,,,
28:14.2,21,53,-67,,,
28:14.2,21,55,-64,,,
28:14.2,21,39,-68,,,
28:14.2,21,38,-71,,,
28:14.2,21,35,-79,,,
28:14.2,21,34,-74,,,
28:14.2,21,59,-67,,,
28:14.2,21,42,-61,,,
28:14.2,21,44,-61,,,
28:14.2,21,43,-68,,,
28:14.2,21,50,-72,,,
28:14.2,21,24,-53,,,
28:14.2,21,46,-70,,,
28:14.2,21,48,-75,,,
28:14.2,21,47,-66,,,
28:14.2,21,25,-59,,,
28:14.3,21,38,-72,,,
28:14.3,21,42,-61,,,
28:14.3,21,41,-51,,,
28:14.3,21,22,-50,,,
28:14.3,21,21,-57,,,
28:14.3,21,29,-67,,,
28:14.3,21,23,-57,,,
28:14.4,21,56,-69,,,
28:14.4,21,59,-67,,,
28:14.4,21,36,-76,,,
28:14.4,21,21,-57,,,
28:14.4,21,60,-68,,,
28:14.4,21,50,-73,,,
28:14.4,21,24,-53,,,
28:14.4,21,46,-71,,,
28:14.4,21,47,-66,,,
28:14.6,21,31,-68,,,
28:14.6,21,35,-81,,,
28:14.6,21,59,-67,,,
28:14.6,21,22,-50,,,
28:14.6,21,50,-73,,,
28:14.6,21,45,-66,,,
28:14.7,21,33,-67,,,
28:14.7,21,32,-67,,,
28:14.7,21,56,-68,,,
28:14.7,21,59,-67,,,
28:14.7,21,36,-75,,,
28:14.7,21,42,-61,,,
28:14.7,21,41,-50,,,
28:14.7,21,22,-49,,,
28:14.7,21,21,-57,,,
28:14.7,21,24,-53,,,
28:14.7,21,46,-72,,,
28:14.7,21,47,-66,,,
28:14.8,21,55,-68,,,
28:14.8,21,33,-67,,,
28:14.8,21,36,-75,,,
28:14.8,21,22,-50,,,
28:14.8,21,44,-61,,,
28:14.8,21,60,-68,,,
28:14.8,21,24,-53,,,
28:14.8,21,23,-57,,,
28:14.8,21,25,-58,,,
28:14.9,21,31,-67,,,
28:14.9,21,54,-74,,,
28:14.9,21,57,-67,,,
28:14.9,21,35,-80,,,
28:14.9,21,59,-67,,,
28:14.9,21,58,-76,,,
28:14.9,21,22,-49,,,
28:14.9,21,44,-61,,,
