board_id,block_id,reg_dt,major,minor,lc1,lc2,lc3,lc4,avg
K002,1,12:38.9,1,5,54,0,0,0,13.5
K002,1,12:38.6,1,5,54,0,0,0,13.5
K002,1,12:38.4,1,5,54,0,0,0,13.5
K002,1,12:38.2,1,5,55,0,0,0,13.75
K002,1,12:37.6,1,5,54,0,0,0,13.5
K002,1,12:37.3,1,5,55,0,0,0,13.75
K002,1,12:37.0,1,5,54,0,0,0,13.5
K002,1,12:36.7,1,5,54,0,0,0,13.5
K002,1,12:36.4,1,5,55,0,0,0,13.75
K002,1,12:36.1,1,5,55,0,0,0,13.75
K002,1,12:35.8,1,5,55,0,0,0,13.75
K002,1,12:35.5,1,5,55,0,0,0,13.75
K002,1,12:35.2,1,5,55,0,0,0,13.75
K002,1,12:34.9,1,5,55,0,0,0,13.75
K002,1,12:34.6,1,5,55,0,0,0,13.75
K002,1,12:34.2,1,5,55,0,0,0,13.75
K002,1,12:34.0,1,5,55,0,0,0,13.75
K002,1,12:33.8,1,5,55,0,0,0,13.75
K002,1,12:33.6,1,5,55,0,0,0,13.75
K002,1,12:33.0,1,5,55,0,0,0,13.75
K002,1,12:32.7,1,5,55,0,0,0,13.75
K002,1,12:32.4,1,5,55,0,0,0,13.75
K004,1,12:32.4,1,13,51,0,0,0,12.75
K002,1,12:32.1,1,5,55,0,0,0,13.75
K004,1,12:32.1,1,13,51,0,0,0,12.75
K002,1,12:31.8,1,5,55,0,0,0,13.75
K004,1,12:31.7,1,13,52,0,0,0,13
K002,1,12:31.5,1,5,55,0,0,0,13.75
K004,1,12:31.4,1,13,53,0,0,0,13.25
K002,1,12:31.2,1,5,55,0,0,0,13.75
K004,4,12:31.1,1,16,0,51,0,0,12.75
K004,1,12:31.1,1,13,54,0,0,0,13.5
K002,1,12:30.9,1,5,55,0,0,0,13.75
K004,4,12:30.8,1,16,0,51,0,0,12.75
K004,1,12:30.8,1,13,55,0,0,0,13.75
K004,4,12:30.5,1,16,0,52,0,0,13
K004,1,12:30.5,1,13,56,0,0,0,14
K002,1,12:30.3,1,5,56,0,0,0,14
K004,4,12:30.2,1,16,0,53,0,0,13.25
K004,1,12:30.2,1,13,57,0,0,0,14.25
K005,4,12:30.1,1,20,0,0,70,0,17.5
K002,1,12:30.0,1,5,57,0,0,0,14.25
K004,4,12:29.9,1,16,0,55,0,0,13.75
K004,1,12:29.9,1,13,58,0,0,0,14.5
K005,4,12:29.8,1,20,0,0,93,0,23.25
K004,4,12:29.6,1,16,0,56,0,0,14
K004,1,12:29.6,1,13,58,0,0,0,14.5
K005,4,12:29.5,1,20,61,653,999,0,428.25
K004,4,12:29.3,1,16,0,63,0,0,15.75
K004,1,12:29.3,1,13,65,0,0,0,16.25
K002,1,12:29.2,1,5,57,0,0,0,14.25
K005,4,12:29.2,1,20,553,999,999,221,693
K005,1,12:29.2,1,17,0,0,0,57,14.25
K004,4,12:29.0,1,16,0,65,0,0,16.25
K004,1,12:29.0,1,13,67,0,0,0,16.75
K002,1,12:29.0,1,5,57,0,0,0,14.25
K005,4,12:28.9,1,20,579,999,999,207,696
K005,1,12:28.9,1,17,0,0,0,79,19.75
K004,4,12:28.7,1,16,0,67,0,0,16.75
K004,1,12:28.7,1,13,69,0,0,0,17.25
K002,1,12:28.6,1,5,57,0,0,0,14.25
