board_id,block_id,reg_dt,major,minor,lc1,lc2,lc3,lc4,etc,insert_dt
K010,3,12:38.8,1,39,76,0,0,104,\N,12:38.8
K015,1,12:38.9,1,57,84,0,0,69,\N,12:39.3
K015,4,12:38.9,1,60,0,0,70,0,\N,12:39.3
K014,4,12:39.0,1,56,92,197,0,0,\N,12:39.3
K009,3,12:39.1,1,35,999,999,999,999,\N,12:39.3
K015,1,12:39.2,1,57,84,0,0,69,\N,12:39.3
K015,4,12:39.2,1,60,0,0,70,0,\N,12:39.3
K014,4,12:39.3,1,56,92,197,0,0,\N,12:39.3
K010,1,12:39.5,1,37,77,0,79,78,\N,12:39.7
K010,2,12:39.5,1,38,999,999,999,999,\N,12:39.7
K010,3,12:39.5,1,39,87,0,0,92,\N,12:39.7
K015,1,12:39.5,1,57,84,0,0,69,\N,12:39.7
K015,4,12:39.5,1,60,0,0,71,0,\N,12:39.7
K009,3,12:39.5,1,35,999,999,999,999,\N,12:39.7
K014,4,12:39.6,1,56,92,197,0,0,\N,12:39.7
K010,1,12:39.7,1,37,77,0,79,78,\N,12:39.7
K010,2,12:39.7,1,38,999,999,999,999,\N,12:39.7
K009,3,12:39.7,1,35,999,999,999,999,\N,12:40.1
K015,1,12:39.8,1,57,84,51,0,70,\N,12:40.1
K015,4,12:39.8,1,60,0,0,71,0,\N,12:40.1
K010,3,12:39.7,1,39,89,0,0,93,\N,12:40.1
K009,3,12:39.9,1,35,999,999,999,999,\N,12:40.1
K014,4,12:39.9,1,56,92,197,0,0,\N,12:40.1
K010,1,12:40.0,1,37,77,0,79,78,\N,12:40.1
K010,2,12:40.0,1,38,999,999,999,999,\N,12:40.1
K010,3,12:40.0,1,39,89,0,0,96,\N,12:40.1
K015,1,12:40.1,1,57,84,51,0,70,\N,12:40.1
K015,4,12:40.1,1,60,0,0,71,0,\N,12:40.1
K009,3,12:40.2,1,35,999,999,999,999,\N,12:40.6
K010,1,12:40.2,1,37,77,0,80,78,\N,12:40.6
K010,2,12:40.2,1,38,999,999,999,999,\N,12:40.6
K010,3,12:40.2,1,39,88,0,0,101,\N,12:40.6
K014,4,12:40.2,1,56,92,197,0,0,\N,12:40.6
K010,1,12:40.4,1,37,77,0,80,78,\N,12:40.6
K010,2,12:40.4,1,38,999,999,999,999,\N,12:40.6
K010,3,12:40.4,1,39,88,0,0,102,\N,12:40.6
K015,1,12:40.4,1,57,84,51,0,70,\N,12:40.6
K015,4,12:40.4,1,60,0,0,71,0,\N,12:40.6
K009,3,12:40.5,1,35,999,999,999,999,\N,12:40.6
K014,4,12:40.5,1,56,92,197,0,0,\N,12:40.6
K010,1,12:40.6,1,37,77,0,79,77,\N,12:40.6
K010,2,12:40.6,1,38,999,999,999,999,\N,12:40.6
K010,3,12:40.6,1,39,88,0,0,103,\N,12:40.9
K015,1,12:40.7,1,57,84,51,0,70,\N,12:40.9
K015,4,12:40.7,1,60,0,0,72,0,\N,12:40.9
K009,3,12:40.8,1,35,999,999,999,999,\N,12:40.9
K014,4,12:40.8,1,56,92,197,0,0,\N,12:40.9
K010,1,12:40.9,1,37,77,0,80,77,\N,12:40.9
