"no","user_no","board_id","block_id","major","minor","rssi","reg_dt"
"227","1","B003","4","1","12","-77","2021-06-15 02:49:58.778000"
"228","1","B003","2","1","10","-83","2021-06-15 02:49:58.778000"
"229","1","B003","1","1","9","-88","2021-06-15 02:49:58.889000"
"230","1","B003","3","1","11","-69","2021-06-15 02:49:58.889000"
"231","1","B003","4","1","12","-77","2021-06-15 02:49:58.889000"
"232","1","B003","2","1","10","-83","2021-06-15 02:49:58.889000"
"233","1","B003","1","1","9","-88","2021-06-15 02:49:59.112000"
"234","1","B003","3","1","11","-69","2021-06-15 02:49:59.112000"
"235","1","B003","4","1","12","-77","2021-06-15 02:49:59.112000"
"236","1","B003","2","1","10","-83","2021-06-15 02:49:59.112000"
"237","1","B003","1","1","9","-88","2021-06-15 02:49:59.175000"
"238","1","B003","3","1","11","-69","2021-06-15 02:49:59.175000"
"239","1","B003","4","1","12","-77","2021-06-15 02:49:59.175000"
"240","1","B003","2","1","10","-83","2021-06-15 02:49:59.175000"
"241","1","B003","1","1","9","-88","2021-06-15 02:49:59.263000"
"242","1","B003","3","1","11","-69","2021-06-15 02:49:59.263000"
"243","1","B003","4","1","12","-77","2021-06-15 02:49:59.263000"
"244","1","B003","2","1","10","-83","2021-06-15 02:49:59.263000"
"245","1","B003","1","1","9","-88","2021-06-15 02:49:59.312000"
"246","1","B003","3","1","11","-69","2021-06-15 02:49:59.312000"
"247","1","B003","4","1","12","-77","2021-06-15 02:49:59.312000"
"248","1","B003","2","1","10","-83","2021-06-15 02:49:59.312000"
"249","1","B003","1","1","9","-88","2021-06-15 02:49:59.463000"
"250","1","B003","3","1","11","-69","2021-06-15 02:49:59.463000"
"251","1","B003","4","1","12","-77","2021-06-15 02:49:59.463000"
"252","1","B003","2","1","10","-83","2021-06-15 02:49:59.463000"
"253","1","B003","1","1","9","-88","2021-06-15 02:49:59.510000"
"254","1","B003","3","1","11","-69","2021-06-15 02:49:59.510000"
"255","1","B003","4","1","12","-77","2021-06-15 02:49:59.510000"
"256","1","B003","2","1","10","-83","2021-06-15 02:49:59.510000"
"257","1","B003","1","1","9","-88","2021-06-15 02:49:59.623000"
"258","1","B003","3","1","11","-69","2021-06-15 02:49:59.623000"
"259","1","B003","4","1","12","-77","2021-06-15 02:49:59.623000"
"260","1","B003","2","1","10","-83","2021-06-15 02:49:59.623000"
"261","1","B003","1","1","9","-88","2021-06-15 02:49:59.746000"
"262","1","B003","3","1","11","-69","2021-06-15 02:49:59.746000"
"263","1","B003","4","1","12","-77","2021-06-15 02:49:59.746000"
"264","1","B003","2","1","10","-83","2021-06-15 02:49:59.746000"
"265","1","B003","1","1","9","-88","2021-06-15 02:49:59.842000"
"266","1","B003","3","1","11","-69","2021-06-15 02:49:59.842000"
"267","1","B003","4","1","12","-77","2021-06-15 02:49:59.842000"
"268","1","B003","2","1","10","-83","2021-06-15 02:49:59.842000"
"269","1","B003","1","1","9","-88","2021-06-15 02:49:59.977000"
